book_title,book_title_citation,sacred_texts_download_link,sacred_texts_download_link_citation,sanskritdocuments_download_link,sanskritdocuments_download_link_citation,author,author_citation,wisdomlib_download_link_citation
The Mahabharata,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/maha/mahatxt.zip,https://www.sacred-texts.com/download.htm,,,,,
"Vedic Hymns, Part I (SBE32)",https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/sbe32/sbe32.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
Atharva Veda,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/av/av.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
"The Upanishads, Part 1 (SBE01)",https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/sbe01/sbe01.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
The Vishnu Purana,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/vp/vp.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
The Garuda Purana,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/hin/gpu/gpu.txt.gz,https://www.sacred-texts.com/download.htm,https://archive.org/download/garuda-purana/garuda-purana.pdf,https://sanskritdocuments.org/sanskrit/purana/,,,
"Amitabha, A Story of Buddhist Theology",https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/bud/ami/ami.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
The Buddhist Catechism,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/bud/tbc/tbc.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
The Dhammapada and Sutta Nipata,https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/bud/sbe10/sbe10.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
Ganesha Puranam 1,https://sanskritdocuments.org/sanskrit/purana/,,,https://archive.org/download/ganesha-mahapuran/ganesha-mahapuran.pdf,https://sanskritdocuments.org/sanskrit/purana/,,,
Devi Bhagavatam (Skandha 01),https://sanskritdocuments.org/sanskrit/purana/,,,https://archive.org/download/devi-bhagavata-skanda01/devi-bhagavata-skanda01.pdf,https://sanskritdocuments.org/sanskrit/purana/,,,
Brahma Purana,https://sanskritdocuments.org/sanskrit/purana/,,,https://archive.org/download/brahma-purana/brahma-purana.pdf,https://sanskritdocuments.org/sanskrit/purana/,,,
Skanda Purana,https://sanskritdocuments.org/sanskrit/purana/,,,https://archive.org/download/skanda-purana-1/skanda-purana-1.pdf,https://sanskritdocuments.org/sanskrit/purana/,G. V. Tagare,https://www.wisdomlib.org/hinduism/book/the-skanda-purana,https://www.wisdomlib.org/hinduism/book/the-skanda-purana
Avadhuta Gita,https://sanskritdocuments.org/sanskrit/gita/,,,https://sanskritdocuments.org/doc_giitaa/Uddhava_Gita_with_SridharaSwamin_Tika.pdf,https://sanskritdocuments.org/sanskrit/gita/,,,
Isha Upanishad Bhasya,https://sanskritdocuments.org/upanishhat/,,,https://sanskritdocuments.org/doc_upanishhat/Ishavasyopanisad_Upanishad_bhashya_PT_with_footnotes.pdf,https://sanskritdocuments.org/upanishhat/,Shankaracharya,https://sanskritdocuments.org/upanishhat/,
"The Jataka, Volume I",https://www.sacred-texts.com/download.htm,https://www.sacred-texts.com/bud/j1/j1.txt.gz,https://www.sacred-texts.com/download.htm,,,,,
Guhyagarbha Tantra,https://www.wisdomlib.org/buddhism/book/guhyagarbha-tantra-with-commentary,,,,,Gyurme Dorje,https://www.wisdomlib.org/buddhism/book/guhyagarbha-tantra-with-commentary,https://www.wisdomlib.org/buddhism/book/guhyagarbha-tantra-with-commentary
